id,card_holder_name,timestamp,card_number,payment_amount,merchant_name
1,Galvin Stark,"Jun 25, 2022 17:49",374668534431814,36,Adobe
2,Brenda Fowler,"Aug 25, 2021 22:55",448561 8637256467,32,Yahoo
3,Paloma Matthews,"Mar 7, 2023 08:26",5429 3525 6626 4856,70,Yahoo
4,Keane Reeves,"Nov 28, 2022 12:39",630484 62 8671 3264 177,67,Yahoo
5,Griffin Pruitt,"Mar 15, 2021 12:20",6494227746827566,20,Adobe
6,Jena Bates,"Nov 14, 2021 09:55",4026 7533 4747 6893,14,Yahoo
7,Cain Fry,"Jul 5, 2023 21:04",3023 725364 52236,58,Yahoo
8,Yetta Cardenas,"Jan 12, 2022 06:15",2149 566422 54325,2,Yahoo
9,Finn Mccarthy,"Oct 13, 2022 15:13",402 66556 76783 783,95,Yahoo
10,Claudia Nielsen,"May 1, 2022 16:19",369991443682328,87,Adobe
11,Marvin Vinson,"Nov 19, 2022 17:17",417 50023 77426 959,48,Adobe
12,Ima Marquez,"Apr 8, 2021 21:16",5038 2823 7438 2686,15,Yahoo
13,Jordan Michael,"Jul 16, 2023 15:18",676 74547 61731 768,82,Adobe
14,Samuel Stokes,"May 22, 2022 00:14",372557481932944,29,Adobe
15,Martin Vinson,"Jun 7, 2022 18:55",453 26161 13522 678,76,Yahoo
16,Reuben Fry,"Jun 7, 2021 13:52",501848231851243,52,Adobe
17,Abdul Barr,"Dec 21, 2021 20:34",3032 438567 83915,44,Yahoo
18,Kareem Fry,"Oct 27, 2022 17:35",517249 4477854364,2,Adobe
19,Addison Curtis,"Jul 14, 2023 00:55",3637 283276 73643,25,Yahoo
20,Merrill Austin,"Apr 23, 2022 13:28",3003 715272 51328,52,Yahoo
21,Bradley Benson,"Sep 19, 2023 00:45",364672287444463,89,Yahoo
22,Caleb Mathews,"May 10, 2021 16:58",3431 348741 34441,82,Yahoo
23,Elizabeth Duke,"Feb 27, 2021 19:48",301733464387630,99,Adobe
24,Chaney Lester,"May 12, 2021 16:53",3058 668387 92659,63,Yahoo
25,Norman May,"Jan 19, 2022 13:10",493 67225 53642 877,61,Adobe
26,Colby Hinton,"Jan 10, 2022 11:44",676718 8277723220,87,Adobe
27,Dana Jensen,"Feb 18, 2022 18:47",3045 863748 24630,23,Yahoo
28,Aretha Rodriquez,"Jul 2, 2023 06:26",6762 5617 1358 1771,34,Yahoo
29,Jemima Flores,"Jan 25, 2022 11:49",670 91855 57434 834,93,Yahoo
30,Lenore Stuart,"Aug 25, 2023 07:46",4485 659 83 1738,51,Yahoo
31,Shoshana Delaney,"Mar 19, 2022 21:49",491 32927 53475 467,35,Yahoo
32,Keegan Sullivan,"Mar 30, 2022 12:44",676776589698389278,63,Adobe
33,Jin Heath,"Sep 17, 2023 01:34",300238322393292,60,Yahoo
34,Yuli Nash,"Dec 25, 2021 23:58",301428422753342,80,Yahoo
35,Madonna Newman,"May 7, 2022 18:16",630 45512 26966 366,10,Adobe
36,Sonya Salinas,"Jun 2, 2022 03:40",647565 444137 7618,17,Adobe
37,Sonya Ferguson,"Jun 4, 2023 03:01",6472 4147 7713 5699,30,Adobe
38,Kiona Duncan,"Dec 21, 2020 06:16",3473 696759 42222,36,Adobe
39,Skyler Douglas,"Nov 17, 2020 19:14",417500 365753 3811,75,Adobe
40,Paul Humphrey,"Jun 21, 2023 07:46",2014 384778 61768,84,Yahoo
41,Nathan Mercer,"Feb 3, 2022 07:34",365284579443614,89,Adobe
42,Hedy Compton,"Oct 28, 2022 00:28",3007 667828 82941,79,Yahoo
43,Hyatt Espinoza,"Oct 11, 2021 21:50",557355 2942181898,66,Adobe
44,Xandra Mcneil,"Sep 30, 2023 07:25",563243 1732229713,28,Adobe
45,Jolie Cobb,"Nov 9, 2022 17:43",4905272293686575,42,Adobe
46,Joshua Bell,"Jan 25, 2022 02:11",556 72643 61293 265,3,Adobe
47,Alma Washington,"Nov 13, 2020 03:27",4532 529 77 8571,52,Adobe
48,Nero Hampton,"Mar 15, 2022 09:07",214973573225323,53,Adobe
49,Elizabeth Travis,"Apr 20, 2021 03:14",6331106458416394852,72,Adobe
50,Elliott Haynes,"Apr 6, 2021 19:48",6709 8818 5275 7479,45,Yahoo
51,Declan Decker,"Sep 28, 2021 18:26",4905648146396137254,90,Yahoo
52,Eugenia Hensley,"Jun 15, 2021 03:59",5893 911 67 6644,94,Yahoo
53,Brianna Beasley,"Dec 28, 2022 17:27",3051 435525 18557,48,Yahoo
54,Zane Evans,"Nov 16, 2021 05:06",4853 962 32 8637,97,Yahoo
55,Jesse Wiggins,"Jul 25, 2021 19:24",304245674563949,84,Adobe
56,Gemma Bates,"Sep 16, 2022 06:40",376181294691450,6,Adobe
57,Danielle Santos,"May 15, 2023 22:38",649672 6656674841,3,Yahoo
58,Elijah Figueroa,"Aug 28, 2022 03:44",491614 352341 3667,82,Adobe
59,Carly Blair,"Jul 31, 2021 11:06",3667 164624 55667,37,Yahoo
60,Maisie Albert,"Sep 16, 2022 23:58",2014 654288 37563,21,Adobe
61,Dustin Payne,"Mar 1, 2022 10:08",601166 885736 3780,59,Yahoo
62,Warren Quinn,"Jul 31, 2022 06:40",555942 3612392538,9,Yahoo
63,Fleur Le,"Apr 17, 2023 18:57",676721 82 4755 1286 597,18,Yahoo
64,Acton Frost,"May 29, 2022 00:38",362458521632556,18,Yahoo
65,Thor Decker,"Feb 7, 2021 14:38",6334 7375 6517 5438,16,Yahoo
66,Gisela Maldonado,"Oct 3, 2022 14:07",3756 868367 28470,8,Adobe
67,Michelle Castro,"Nov 4, 2023 10:46",201417388254420,29,Yahoo
68,Phoebe Levy,"Jun 13, 2022 04:45",4024 0071 4566 2887,44,Yahoo
69,Naida Valentine,"Oct 7, 2022 15:55",4556 7835 6397 2562,62,Yahoo
70,Iris Alexander,"Jun 13, 2021 21:07",490593863823352965,22,Adobe
71,Cain Rasmussen,"Oct 7, 2022 21:05",633 11045 34476 822,17,Adobe
72,Wang Merritt,"Mar 10, 2023 16:24",676768 9577566383,54,Yahoo
73,Zephania Bartlett,"Feb 4, 2021 12:25",501843 2439738521,66,Yahoo
74,Aspen Sexton,"Nov 29, 2020 22:10",455 69264 42856 460,23,Adobe
75,Heather Larsen,"Apr 21, 2022 05:19",4844877764735216,48,Yahoo
76,Jillian Phelps,"Jan 11, 2022 12:54",361558668244783,59,Yahoo
77,Christen O'donnell,"Jun 20, 2021 19:36",368526524542446,25,Adobe
78,Jonah Rodriquez,"Oct 30, 2022 03:10",342338576633623,70,Yahoo
79,Gregory Rich,"Nov 20, 2022 03:24",491166978238498552,71,Yahoo
80,Naomi Baker,"May 16, 2022 14:23",6709926167858574237,60,Adobe
81,Chantale Delaney,"Aug 3, 2022 18:34",361244237718660,79,Adobe
82,Brittany Haley,"Mar 23, 2022 17:01",676391 42 9876 5187 580,7,Yahoo
83,Lunea Blackburn,"Jan 8, 2021 16:00",654748 282155 7284,1,Yahoo
84,Yoshio Flynn,"Jan 5, 2023 17:50",6767691736714445450,73,Adobe
85,Orlando Kirkland,"Jul 7, 2022 04:03",4929 8532 1897 8650,26,Adobe
86,Sean Hahn,"Dec 23, 2022 22:40",3646 325751 65865,37,Yahoo
87,Amena Monroe,"Feb 27, 2021 17:54",6466366746522274,29,Yahoo
88,Cynthia Abbott,"Dec 17, 2020 15:53",6706516275253465,52,Yahoo
89,Ifeoma Brown,"Sep 22, 2021 09:28",3655 227381 86180,88,Yahoo
90,Christine Roach,"Mar 10, 2021 06:57",63048378437969,44,Yahoo
91,Adara Joyner,"Jan 26, 2021 00:23",362256459672325,25,Adobe
92,Odysseus Mejia,"Apr 14, 2023 01:30",630468 617313 2487,47,Adobe
93,Baker Tillman,"Jun 3, 2021 06:43",344328127594281,18,Adobe
94,Eagan Barnett,"Apr 4, 2021 04:33",450888 8434724172,28,Adobe
95,Priscilla Terry,"Oct 24, 2022 17:53",365658773425792,93,Yahoo
96,MacKensie Curry,"Jul 6, 2022 11:38",677167 21 8658 2623 447,49,Yahoo
97,Zelda Bowman,"Sep 13, 2021 01:49",6706 4896 8296 5628,79,Yahoo
98,Gray Pittman,"Jul 3, 2021 17:41",378669365276332,2,Adobe
99,Malik Pugh,"Dec 26, 2022 16:53",303377746875463,70,Adobe
100,Nadine Chan,"Dec 2, 2022 20:09",6466481759294271,95,Yahoo
101,Jolie Whitehead,"Oct 14, 2022 14:12",6706 2357 4538 4822,31,Yahoo
102,Cailin Conner,"Aug 13, 2023 19:25",214951946744550,13,Adobe
103,Sean Taylor,"Jul 6, 2021 05:48",670959 782267 7544,59,Yahoo
104,Echo Williamson,"Dec 22, 2022 08:58",402667 727463 5454,3,Adobe
105,Ariana Sampson,"Feb 15, 2023 13:14",3677 856161 73491,91,Adobe
106,Axel Peterson,"Oct 16, 2022 03:18",3014 886856 65856,48,Yahoo
107,Dalton Strong,"Oct 1, 2023 21:06",6497433577569874,93,Adobe
108,Xanthus Kirby,"Jul 21, 2021 17:57",3641 657466 14230,38,Yahoo
109,Alma Higgins,"Dec 21, 2020 09:21",368973233415326,93,Yahoo
110,Nichole Graham,"Nov 16, 2020 20:02",455 44241 63133 832,23,Adobe
111,Angela Hale,"Sep 16, 2023 04:00",491166 6687567378,3,Yahoo
112,Ross Clements,"Nov 16, 2022 06:08",453969 9596362864,78,Yahoo
113,Cameron Fleming,"Oct 20, 2023 07:43",362894433287214,49,Adobe
114,Kiara Farley,"Jun 27, 2021 16:06",366461425286566,63,Yahoo
115,Serena Good,"Mar 19, 2022 22:25",670934 8775283868,81,Adobe
116,Indigo Charles,"Jan 28, 2022 06:49",6441 3444 1154 3842,34,Yahoo
117,Stella Castaneda,"Oct 1, 2023 00:59",3032 328886 68988,14,Adobe
118,Rudyard Love,"Jan 26, 2021 03:19",4871281326686,44,Adobe
119,Zephr Gaines,"Jun 28, 2022 23:08",50184827699568555,9,Adobe
120,Kennan Mcmillan,"Nov 28, 2021 23:46",57845998543746873,25,Adobe
121,Cameran O'connor,"Jun 8, 2023 05:30",6762 626644 77295,90,Adobe
122,Silas Weaver,"Dec 31, 2022 14:13",6496369485568296,63,Yahoo
123,Aristotle Ashley,"May 17, 2021 02:19",450878 249555 6740,46,Adobe
124,Jameson Mays,"Sep 23, 2023 12:28",677177 29 5876 6823 137,6,Yahoo
125,Hermione Livingston,"Dec 17, 2021 21:32",67067989523228735,84,Yahoo
126,Ray Walton,"Dec 16, 2020 19:23",6304 232712 7623,98,Yahoo
127,McKenzie Owen,"Jun 30, 2021 00:02",6499768584625443,87,Yahoo
